O-D,Player,Player_ID,Team,Injury Description,Body Part,Body Zone,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Surgery,Recovery Timetable,Injured Reserve
D,Andrew Adams,AA-0075,Tennessee Titans,knee sprain,knee,lower body,Medium Severity,Week 17,2022,1,1,,,IR
D,Azeez Al-Shaair,AA-0250,San Francisco 49ers,MCL sprain,knee,lower body,High Severity,Week 3,2022,8,8,,,IR
D,Adrian Amos,AA-0543,Green Bay Packers,concussion,head,upper body,Low Severity,Week 4,2022,,1,,,
O,Alex Armah,AA-0557,Washington Commanders,undisclosed injury,leg,lower body,High Severity,Preseason,2022,17,17,,,IR
D,Arik Armstead,AA-0562,San Francisco 49ers,MCL sprain,knee,lower body,Medium Severity,Preseason,2022,,,,,
D,Arik Armstead,AA-0562,San Francisco 49ers,plantar fascia tear,foot,lower body,High Severity,Week 2,2022,8,9,,,
D,Arik Armstead,AA-0562,San Francisco 49ers,hairline fibula fracture,fibula,lower body,Low Severity,Week 11,2022,,,,,
D,Arik Armstead,AA-0562,San Francisco 49ers,ankle sprain,ankle,lower body,Low Severity,Week 17,2022,,1,,,
D,Anthony Averett,AA-0590,Las Vegas Raiders,thumb fracture,thumb,upper body,Medium Severity,Week 1,2022,4,4,,,IR
O,Aaron Brewer,AB-0111,Tennessee Titans,rib strain,rib,upper body,Low Severity,Week 15,2022,,1,,,
D,Anthony Brown,AB-0123,Baltimore Ravens,concussion,head,upper body,Low Severity,Week 10,2022,,1,,,
D,Anthony Brown,AB-0123,Baltimore Ravens,achilles tendon rupture,achilles,lower body,High Severity,Week 13,2022,5,5,Achilles tendon repair surgery,6-9 months,IR
D,Anthony Barr,AB-0650,Dallas Cowboys,undisclosed injury,leg,lower body,Low Severity,Preseason,2022,,,,,
D,Anthony Barr,AB-0650,Dallas Cowboys,hamstring strain,hamstring,lower body,Medium Severity,Week 8,2022,3,4,,,
O,Alex Bars,AB-0750,Las Vegas Raiders,knee sprain,knee,lower body,Low Severity,Week 14,2022,1,2,,,
O,Andrew Beck,AB-1125,Denver Broncos,hamstring strain,hamstring,lower body,Low Severity,Week 8,2022,4,6,,,
D,Andrew Billings,AB-1650,Las Vegas Raiders,fibula injury,fibula,lower body,Medium Severity,Week 12,2022,3,4,,,
D,Andrew Brown,AB-3425,Chicago Bears,ankle sprain,ankle,lower body,Low Severity,Preseason,2022,,,,,
D,Artie Burns,AB-3875,Seattle Seahawks,groin strain,groin,lower body,Low Severity,Preseason,2022,2,2,,,
D,Artie Burns,AB-3875,Seattle Seahawks,groin strain,groin,lower body,Low Severity,Week 5,2022,2,2,,,
O,Aaron Banks,AB-4620,San Francisco 49ers,knee sprain,knee,lower body,Low Severity,Week 5,2022,,1,,,
O,Aaron Banks,AB-4620,San Francisco 49ers,knee sprain,knee,lower body,Low Severity,Week 17,2022,1,1,,,
D,Andrew Booth,AB-6567,Minnesota Vikings,quad strain,quad,lower body,Medium Severity,Week 1,2022,4,4,,,
D,Andrew Booth,AB-6567,Minnesota Vikings,knee sprain,knee,lower body,Low Severity,Week 11,2022,1,1,knee repair surgery,,
O,Alex Cappa,AC-0362,Cincinnati Bengals,ankle sprain,ankle,lower body,Low Severity,Week 18,2022,2,2,,,
D,Anthony Chesley,AC-1325,Tampa Bay Buccaneers,hamstring strain,hamstring,lower body,Medium Severity,Week 18,2022,1,1,,,IR
D,Andre Cisco,AC-1663,Jacksonville Jaguars,shoulder strain,shoulder,upper body,Low Severity,Week 12,2022,2,2,,,
O,Amari Cooper,AC-2350,Cleveland Browns,ankle sprain,ankle,lower body,Low Severity,Preseason,2022,,,,,
O,Amari Cooper,AC-2350,Cleveland Browns,hip strain,hip,lower body,Low Severity,Week 13,2022,,1,,,
O,Austin Corbett,AC-2362,Carolina Panthers,ACL tear,knee,lower body,High Severity,Week 18,2022,,,ACL reconstruction surgery,4-6 months,IR
O,Austin Deculus,AD-0110,Houston Texans,ankle sprain,ankle,lower body,Medium Severity,Week 2,2022,3,4,,,
D,Ashtyn Davis,AD-0672,New York Jets,hamstring strain,hamstring,lower body,Low Severity,Week 6,2022,1,1,,,
D,Ashtyn Davis,AD-0672,New York Jets,hamstring strain,hamstring,lower body,Low Severity,Week 12,2022,1,1,,,
D,Ashtyn Davis,AD-0672,New York Jets,ankle sprain,ankle,lower body,Low Severity,Week 17,2022,,1,,,
O,Andre Dillard,AD-1181,Philadelphia Eagles,concussion,head,upper body,Low Severity,Preseason,2022,,,,,
O,Andre Dillard,AD-1181,Philadelphia Eagles,nondisplaced fracture,forearm,upper body,Medium Severity,Preseason,2022,4,4,forearm repair surgery,4-6 weeks,IR
O,A.J. Dillon,AD-1184,Green Bay Packers,concussion,head,upper body,Low Severity,Week 15,2022,,,,,
D,Aaron Donald,AD-1475,Los Angeles Rams,foot sprain,foot,lower body,Low Severity,Week 5,2022,,1,,,
D,Aaron Donald,AD-1475,Los Angeles Rams,high-ankle sprain,ankle,lower body,Medium Severity,Week 12,2022,6,6,,,
O,Ashton Dulin,AD-1587,Indianapolis Colts,foot sprain,foot,lower body,Medium Severity,Week 5,2022,4,4,,,IR
O,Ashton Dulin,AD-1587,Indianapolis Colts,concussion,head,upper body,Low Severity,Week 16,2022,1,1,,,
D,A.J. Epenesa,AE-0950,Buffalo Bills,ankle sprain,ankle,lower body,Low Severity,Week 11,2022,1,1,,,
D,Arnold Ebiketie,AE-4814,Atlanta Falcons,forearm strain,forearm,upper body,Low Severity,Week 11,2022,1,2,,,
D,Akayleb Evans,AE-5045,Minnesota Vikings,concussion,head,upper body,Low Severity,Week 10,2022,2,2,,,
D,Akayleb Evans,AE-5045,Minnesota Vikings,concussion,head,upper body,Medium Severity,Week 13,2022,4,4,,,IR
O,Antonio Gibson,AG-0725,Washington Commanders,foot fracture,foot,lower body,Low Severity,Week 12,2022,,1,fracture repair surgery,4-6 months,
O,Antonio Gibson,AG-0725,Washington Commanders,knee sprain,knee,lower body,Low Severity,Week 16,2022,2,2,,,
O,A.J. Green,AG-1500,Arizona Cardinals,bone brusie,knee,lower body,Low Severity,Week 3,2022,1,1,,,
D,Antonio Hamilton,AH-0762,Arizona Cardinals,back strain,back,upper body,Low Severity,Week 14,2022,1,2,,,
D,Antonio Hamilton,AH-0762,Arizona Cardinals,hip strain,hip,lower body,Low Severity,Week 16,2022,2,2,,,
D,Aaron Hansford,AH-2181,,calf strain,calf,lower body,Low Severity,Preseason,2022,,,,,
D,Akiem Hicks,AH-3050,Tampa Bay Buccaneers,plantar fascia tear,foot,lower body,Medium Severity,Week 2,2022,6,6,,,
D,Akiem Hicks,AH-3050,Tampa Bay Buccaneers,plantar fascia strain,foot,lower body,Low Severity,Week 12,2022,,2,,,
D,Amani Hooker,AH-3625,Tennessee Titans,concussion,head,upper body,Low Severity,Week 3,2022,2,2,,,
D,Amani Hooker,AH-3625,Tennessee Titans,shoulder strain,shoulder,upper body,Medium Severity,Week 8,2022,3,3,,,
D,Amani Hooker,AH-3625,Tennessee Titans,knee sprain,knee,lower body,Medium Severity,Week 14,2022,3,4,,,
D,Albert Huggins,AH-3856,New Orleans Saints,undisclosed injury,leg,lower body,High Severity,Preseason,2022,17,17,,,IR
D,Aidan Hutchinson,AH-5447,Detroit Lions,thigh strain,quad,lower body,Low Severity,Week 2,2022,,1,,,
O,Alec Ingold,AI-0050,Miami Dolphins,thumb sprain,thumb,upper body,Low Severity,Week 16,2022,,3,,,
O,Andy Isabella,AI-0100,Baltimore Ravens,back strain,back,upper body,Low Severity,Week 1,2022,1,1,,,
D,Adoree' Jackson,AJ-0050,New York Giants,MCL sprain,knee,lower body,High Severity,Week 11,2022,7,7,,,
O,Austin Jackson,AJ-0356,Miami Dolphins,ankle sprain,ankle,lower body,High Severity,Week 1,2022,9,10,,,IR
O,Austin Jackson,AJ-0356,Miami Dolphins,ankle sprain,ankle,lower body,Medium Severity,Week 12,2022,4,4,,,IR
O,Andre James,AJ-0368,Las Vegas Raiders,concussion,head,upper body,Low Severity,Week 1,2022,2,2,,,
D,Anfernee Jennings,AJ-0575,New England Patriots,calf strain,calf,lower body,Low Severity,Week 6,2022,,2,,,
D,Anfernee Jennings,AJ-0575,New England Patriots,back strain,back,upper body,Low Severity,Week 10,2022,,1,,,
D,Austin Johnson,AJ-1125,,MCL sprain & fractured knee,knee,lower body,High Severity,Week 9,2022,8,8,,,IR
O,Alvin Kamara,AK-0050,New Orleans Saints,rib strain,rib,upper body,Low Severity,Week 1,2022,2,4,,,
O,Allen Lazard,AL-0387,Green Bay Packers,ankle sprain,ankle,lower body,Low Severity,Preseason,2022,1,2,,,
O,Allen Lazard,AL-0387,Green Bay Packers,shoulder strain,shoulder,upper body,Low Severity,Week 7,2022,1,2,,,
O,Abraham Lucas,AL-7123,Seattle Seahawks,knee sprain,knee,lower body,Low Severity,Week 16,2022,1,1,,,
O,Austin Mack,AM-0175,,hamstring strain,hamstring,lower body,Medium Severity,Preseason,2022,,,,,
D,Avonte Maddox,AM-0250,Philadelphia Eagles,ankle sprain,ankle,lower body,Low Severity,Week 3,2022,2,2,,,
D,Avonte Maddox,AM-0250,Philadelphia Eagles,hamstring strain,hamstring,lower body,Medium Severity,Week 9,2022,4,4,,,IR
D,Avonte Maddox,AM-0250,Philadelphia Eagles,toe sprain,toe,lower body,Low Severity,Week 16,2022,3,3,,,
O,Alexander Mattison,AM-0825,Minnesota Vikings,shoulder strain,shoulder,upper body,Low Severity,Week 5,2022,,1,,,
O,Anthony Miller,AM-1975,Pittsburgh Steelers,shoulder strain,shoulder,upper body,High Severity,Preseason,2022,17,17,,,IR
D,Al-Quadin Muhammad,AM-3025,Chicago Bears,knee sprain,knee,lower body,Low Severity,Week 9,2022,1,2,,,
O,Andrew Norwell,AN-0400,Washington Commanders,groin strain,groin,lower body,Low Severity,Week 9,2022,,1,,,
O,Andrew Norwell,AN-0400,Washington Commanders,hip strain,hip,lower body,Low Severity,Week 17,2022,1,1,,,
