Player,Player_ID,Team,Injury Description,Body Part,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Surgery,Recovery Timetable
Jonathan Meeks,JM-4050,Buffalo Bills,foot strain,foot,Low Severity,Week 3,2016,0,2,,
Jonathan Stewart,JS-6750,Carolina Panthers,foot strain,foot,Low Severity,Week 16,2016,0,1,,
Josh Doctson,JD-2350,Washington Redskins,foot strain,foot,Low Severity,Preseason,2016,0,0,,
Justin Bethel,JB-3350,Arizona Cardinals,foot strain,foot,Low Severity,Week 1,2016,0,5,,
Kevin Johnson,KJ-0650,Houston Texans,foot strain,foot,Low Severity,Week 6,2016,1,1,,
Lamarcus Joyner,LJ-1800,Los Angeles Rams,foot strain,foot,Low Severity,Week 1,2016,0,1,,
Marvin Jones,MJ-2250,Detroit Lions,foot strain,foot,Low Severity,Week 4,2016,0,1,,
Matthew Slater,MS-2100,New England Patriots,foot strain,foot,Medium Severity,Week 11,2016,3,6,,
Michael Thomas,MT-0850,New Orleans Saints,foot strain,foot,Low Severity,Week 13,2016,1,1,,
Mike Gillislee,MG-0650,Buffalo Bills,foot strain,foot,Low Severity,Week 7,2016,0,1,,
Nevin Lawson,NL-0250,Detroit Lions,foot strain,foot,Low Severity,Week 7,2016,0,1,,
Orlando Scandrick,OS-0200,Dallas Cowboys,foot strain,foot,Low Severity,Week 13,2016,0,2,,
Phillip Dorsett,PD-0800,Indianapolis Colts,foot strain,foot,Low Severity,Week 6,2016,1,1,,
Robert Blanton,RB-2250,Buffalo Bills,foot strain,foot,Low Severity,Week 11,2016,1,1,,
Robert Woods,RW-4050,Buffalo Bills,foot strain,foot,Low Severity,Week 6,2016,1,4,,
Shareece Wright,SW-2300,Baltimore Ravens,foot strain,foot,Low Severity,Preseason,2016,0,1,,
Taylor Gabriel,TG-0025,Atlanta Falcons,foot strain,foot,Low Severity,Week 16,2016,1,1,,
Ted Ginn,TG-0900,Carolina Panthers,foot strain,foot,Low Severity,Week 4,2016,0,1,,
Trevor Siemian,TS-1450,Denver Broncos,foot strain,foot,Low Severity,Week 12,2016,1,3,,
William Gay,WG-0500,Pittsburgh Steelers,foot strain,foot,Low Severity,Week 8,2016,0,1,,
Taylor Heinicke,TH-1250,Minnesota Vikings,foot tendon tear,foot,Medium Severity,Preseason,2016,3,3,,
Gary Barnidge,GB-0200,Cleveland Browns,forearm contusion,forearm,Low Severity,Week 5,2016,0,1,,
Barry Church,BC-1200,Dallas Cowboys,forearm fracture,forearm,Medium Severity,Week 8,2016,4,8,,
Cedric Peerman,CP-0800,Cincinnati Bengals,forearm fracture,forearm,High Severity,Preseason,2016,16,16,,
Devonta Freeman,DF-1875,Atlanta Falcons,gluteal strain,glute,Low Severity,Preseason,2016,0,0,,
Arian Foster,AF-0900,Miami Dolphins,groin strain,groin,Medium Severity,Week 2,2016,3,3,,
Brittan Golden,BG-0750,Arizona Cardinals,groin strain,groin,Low Severity,Week 11,2016,0,1,,
Bryce Callahan,BC-0150,Chicago Bears,groin strain,groin,Low Severity,Preseason,2016,0,1,,
C.B. Bryant,CB-4725,Arizona Cardinals,groin strain,groin,Low Severity,Week 11,2016,1,1,,
Cody Davis,CD-0950,Los Angeles Rams,groin strain,groin,Low Severity,Week 4,2016,0,1,,
Damarious Randall,DR-0450,Green Bay Packers,groin strain,groin,Medium Severity,Week 4,2016,6,10,,
Delanie Walker,DW-0500,Tennessee Titans,groin strain,groin,Low Severity,Week 8,2016,0,1,,
Dominique Rodgers-Cromartie,DR-2800,New York Giants,groin strain,groin,Low Severity,Week 3,2016,0,3,,
Dontae Johnson,DJ-1750,San Francisco 49Ers,groin strain,groin,Low Severity,Week 15,2016,1,2,,
Eli Apple,EA-0575,New York Giants,groin strain,groin,Low Severity,Week 5,2016,1,1,,
Greg Salas,GS-0100,Buffalo Bills,groin strain,groin,High Severity,Week 2,2016,10,10,,
Jamar Taylor,JT-0850,Cleveland Browns,groin strain,groin,Low Severity,Week 7,2016,1,3,,
Jamison Crowder,JC-5680,Washington Redskins,groin strain,groin,Low Severity,Week 7,2016,0,1,,
Jeremy Maclin,JM-0200,Kansas City Chiefs,groin strain,groin,Low Severity,Preseason,2016,0,0,,
Jeremy Maclin,JM-0200,Kansas City Chiefs,groin strain,groin,Medium Severity,Week 8,2016,4,5,,
Joe Haden,JH-0100,Cleveland Browns,groin strain,groin,Medium Severity,Week 3,2016,3,5,,
Jordan Dangerfield,JD-0025,Pittsburgh Steelers,groin strain,groin,Low Severity,Week 9,2016,2,3,,
Justin Hunter,JH-6400,Buffalo Bills,groin strain,groin,Low Severity,Week 10,2016,0,1,,
Kam Chancellor,KC-0900,Seattle Seahawks,groin strain,groin,Medium Severity,Week 5,2016,5,5,,
Lonnie Ballentine,LB-0150,Houston Texans,groin strain,groin,Low Severity,Week 9,2016,1,1,,
Mackensie Alexander,MA-0350,Minnesota Vikings,groin strain,groin,Low Severity,Week 12,2016,1,1,,
Marcus Burley,MB-5050,Cleveland Browns,groin strain,groin,Low Severity,Preseason,2016,1,1,,
Marquess Wilson,MW-3250,Chicago Bears,groin strain,groin,Low Severity,Week 13,2016,1,1,,
Michael Adams,MA-0100,Washington Redskins,groin strain,groin,Low Severity,Week 8,2016,1,1,,
Mitchell Henry,MH-2350,,groin strain,groin,Low Severity,Preseason,2016,0,0,,
Mohamed Sanu,MS-0150,Atlanta Falcons,groin strain,groin,Low Severity,Week 13,2016,1,1,,
Morgan Burnett,MB-5100,Green Bay Packers,groin strain,groin,Low Severity,Week 2,2016,1,1,,
Morris Claiborne,MC-1351,Dallas Cowboys,groin strain,groin,High Severity,Week 8,2016,9,10,,
Patrick Robinson,PR-0400,Indianapolis Colts,groin strain,groin,Medium Severity,Week 10,2016,3,3,,
Phillip Dorsett,PD-0800,Indianapolis Colts,groin strain,groin,Low Severity,Week 14,2016,0,1,,
Quinten Rollins,QR-0100,Green Bay Packers,groin strain,groin,Low Severity,Week 6,2016,2,3,,
Reggie Bush,RB-4900,Buffalo Bills,groin strain,groin,Low Severity,Week 8,2016,0,1,,
Reshad Jones,RJ-2000,Miami Dolphins,groin strain,groin,Low Severity,Week 5,2016,0,1,,
Ryan Mathews,RM-1200,Philadelphia Eagles,groin strain,groin,Low Severity,Preseason,2016,0,0,,
Shamarko Thomas,ST-0450,Pittsburgh Steelers,groin strain,groin,Medium Severity,Week 5,2016,4,4,,
Stefon Diggs,SD-0537,Minnesota Vikings,groin strain,groin,Low Severity,Week 4,2016,1,2,,
Sterling Shepard,SS-1250,New York Giants,groin strain,groin,Low Severity,Preseason,2016,0,0,,
Tyvon Branch,TB-2400,Arizona Cardinals,groin strain,groin,Low Severity,Week 3,2016,0,1,,
Vernon Davis,VD-0100,Washington Redskins,groin strain,groin,Low Severity,Week 7,2016,0,1,,
Victor Cruz,VC-0300,New York Giants,groin strain,groin,Low Severity,Preseason,2016,0,0,,
A.J. Green,AG-1500,Cincinnati Bengals,hamstring strain,hamstring,Medium Severity,Week 11,2016,6,6,,
Aaron Rodgers,AR-1300,Green Bay Packers,hamstring strain,hamstring,Low Severity,Week 12,2016,0,2,,
Adairius Barnes,AB-0550,Detroit Lions,hamstring strain,hamstring,Low Severity,Week 8,2016,0,1,,
Adrian Peterson,AP-0700,Minnesota Vikings,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Allen Hurns,AH-3900,Jacksonville Jaguars,hamstring strain,hamstring,Medium Severity,Week 12,2016,5,5,,
Allen Robinson,AR-1250,Jacksonville Jaguars,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Alshon Jeffery,AJ-0430,Chicago Bears,hamstring strain,hamstring,Low Severity,Preseason,2016,0,2,,
Andrew Hawkins,AH-1900,Cleveland Browns,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Antonio Cromartie,AC-2400,Indianapolis Colts,hamstring strain,hamstring,Low Severity,Week 1,2016,0,1,,
Antonio Gates,AG-0500,San Diego Chargers,hamstring strain,hamstring,Low Severity,Week 2,2016,2,3,,
Arian Foster,AF-0900,Miami Dolphins,hamstring strain,hamstring,Low Severity,Week 1,2016,0,3,,
Austin Seferian-Jenkins,AS-0550,New York Jets,hamstring strain,hamstring,Low Severity,Week 16,2016,1,1,,
Brandon Wilds,BW-1650,New York Jets,hamstring strain,hamstring,Low Severity,Week 16,2016,0,1,,
Braxton Miller,BM-2350,Houston Texans,hamstring strain,hamstring,Low Severity,Week 2,2016,2,2,,
Brent Grimes,BG-2100,Tampa Bay Buccaneers,hamstring strain,hamstring,Low Severity,Week 4,2016,0,1,,
Bryce Callahan,BC-0150,Chicago Bears,hamstring strain,hamstring,Low Severity,Week 16,2016,1,1,,
Bryce Callahan,BC-0150,Chicago Bears,hamstring strain,hamstring,Medium Severity,Week 5,2016,3,4,,
C.J. Goodwin,CG-1450,Atlanta Falcons,hamstring strain,hamstring,Low Severity,Week 6,2016,1,1,,
C.J. Prosise,CP-2550,Seattle Seahawks,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Carson Palmer,CP-0500,Arizona Cardinals,hamstring strain,hamstring,Low Severity,Week 6,2016,0,1,,
Cecil Shorts,CS-1500,,hamstring strain,hamstring,Medium Severity,Week 2,2016,3,4,,
Chester Rogers,CR-1525,Indianapolis Colts,hamstring strain,hamstring,Low Severity,Week 7,2016,1,1,,
Chris Banjo,CB-0450,Green Bay Packers,hamstring strain,hamstring,Low Severity,Preseason,2016,2,2,,
Chris Banjo,CB-0450,Green Bay Packers,hamstring strain,hamstring,Low Severity,Week 3,2016,2,2,,
Chris Davis,CD-0925,San Francisco 49Ers,hamstring strain,hamstring,Low Severity,Preseason,2016,1,2,,
Chris Ivory,CI-0300,Jacksonville Jaguars,hamstring strain,hamstring,Low Severity,Week 12,2016,2,2,,
Chris Ivory,CI-0300,Jacksonville Jaguars,hamstring strain,hamstring,Low Severity,Week 16,2016,1,1,,
Christine Michael,CM-2280,Seattle Seahawks,hamstring strain,hamstring,Low Severity,Week 9,2016,0,1,,
Cody Riggs,CR-0875,Tennessee Titans,hamstring strain,hamstring,Medium Severity,Week 3,2016,3,3,,
Corey Coleman,CC-3650,Cleveland Browns,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Crockett Gillmore,CG-1030,Baltimore Ravens,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
D.J. Foster,DF-1375,New England Patriots,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
D.J. Hayden,DH-2150,Oakland Raiders,hamstring strain,hamstring,Low Severity,Week 12,2016,0,1,,
Daimion Stafford,DS-3450,Tennessee Titans,hamstring strain,hamstring,Low Severity,Week 11,2016,1,1,,
Daniel Lasco,DL-0412,New Orleans Saints,hamstring strain,hamstring,Medium Severity,Week 6,2016,7,9,,
Darius Butler,DB-6100,Indianapolis Colts,hamstring strain,hamstring,Low Severity,Week 2,2016,2,3,,
Darius Slay,DS-2250,Detroit Lions,hamstring strain,hamstring,Low Severity,Week 14,2016,1,3,,
Darius Slay,DS-2250,Detroit Lions,hamstring strain,hamstring,Low Severity,Week 7,2016,2,2,,
Darqueze Dennard,DD-0950,Cincinnati Bengals,hamstring strain,hamstring,Low Severity,Week 2,2016,0,1,,
Darrelle Revis,DR-1100,New York Jets,hamstring strain,hamstring,Low Severity,Week 4,2016,1,2,,
Dashaun Phillips,DP-1268,Washington Redskins,hamstring strain,hamstring,Medium Severity,Week 3,2016,3,3,,
Dashon Goldson,DG-1300,Atlanta Falcons,hamstring strain,hamstring,Low Severity,Preseason,2016,0,1,,
David Grinnage,DG-9901,,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Dean Marlowe,DM-0250,Carolina Panthers,hamstring strain,hamstring,Low Severity,Preseason,2016,1,2,,
DeAndre Elliott,DE-0750,Seattle Seahawks,hamstring strain,hamstring,Low Severity,Week 7,2016,2,3,,
DeAndre Smelter,DS-2325,San Francisco 49Ers,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Delanie Walker,DW-0500,Tennessee Titans,hamstring strain,hamstring,Low Severity,Week 2,2016,1,2,,
Deon Bush,DB-5950,Chicago Bears,hamstring strain,hamstring,Low Severity,Preseason,2016,1,1,,
DeSean Jackson,DJ-0200,Washington Redskins,hamstring strain,hamstring,Low Severity,Week 7,2016,1,2,,
DeShawn Shead,DS-1730,Seattle Seahawks,hamstring strain,hamstring,Low Severity,Week 11,2016,1,1,,
DeVante Parker,DP-0350,Miami Dolphins,hamstring strain,hamstring,Low Severity,Preseason,2016,1,8,,
Devin Fuller,DF-2150,Atlanta Falcons,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Dexter McCluster,DM-1200,San Diego Chargers,hamstring strain,hamstring,Low Severity,Week 5,2016,0,1,,
Don Carey,DC-0400,Detroit Lions,hamstring strain,hamstring,Low Severity,Week 11,2016,2,4,,
Donte Moncrief,DM-2775,Indianapolis Colts,hamstring strain,hamstring,Low Severity,Week 11,2016,0,1,,
Donte Moncrief,DM-2775,Indianapolis Colts,hamstring strain,hamstring,Low Severity,Week 14,2016,1,1,,
Donteea Dye,DD-3050,Tampa Bay Buccaneers,hamstring strain,hamstring,High Severity,Preseason,2016,16,16,,
Dorial Green-Beckham,DG-2650,Philadelphia Eagles,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Doug Martin,DM-0450,Tampa Bay Buccaneers,hamstring strain,hamstring,Medium Severity,Week 2,2016,6,7,,
Dre Kirkpatrick,DK-0750,Cincinnati Bengals,hamstring strain,hamstring,Low Severity,Week 3,2016,1,1,,
Earl Thomas,ET-0200,Seattle Seahawks,hamstring strain,hamstring,Low Severity,Week 11,2016,1,1,,
Eli Apple,EA-0575,New York Giants,hamstring strain,hamstring,Low Severity,Week 3,2016,1,2,,
Eric Rowe,ER-0475,New England Patriots,hamstring strain,hamstring,Low Severity,Week 13,2016,1,2,,
Ezekiel Elliott,EE-0250,Dallas Cowboys,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Geronimo Allison,GA-0250,Green Bay Packers,hamstring strain,hamstring,Low Severity,Postseason,2016,0,1,,
Ibraheim Campbell,IC-0050,Cleveland Browns,hamstring strain,hamstring,Low Severity,Week 2,2016,2,3,,
Isaiah Pead,IP-0050,Miami Dolphins,hamstring strain,hamstring,Low Severity,Preseason,2016,0,1,,
James Wright,JW-6545,Cincinnati Bengals,hamstring strain,hamstring,Medium Severity,Week 4,2016,4,4,,
Jamison Crowder,JC-5680,Washington Redskins,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Jay Prosch,JP-4187,Houston Texans,hamstring strain,hamstring,Low Severity,Week 11,2016,0,1,,
Jeff Heuerman,JH-3625,Denver Broncos,hamstring strain,hamstring,Low Severity,Preseason,2016,2,2,,
Jermaine Gresham,JG-3700,Arizona Cardinals,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
John Brown,JB-6950,Arizona Cardinals,hamstring strain,hamstring,Low Severity,Week 6,2016,1,1,,
Jonathan Stewart,JS-6700,Carolina Panthers,hamstring strain,hamstring,Medium Severity,Week 2,2016,3,4,,
Josh Hawkins,JH-2875,Green Bay Packers,hamstring strain,hamstring,Low Severity,Preseason,2016,2,2,,
Ka'Deem Carey,KC-0250,Chicago Bears,hamstring strain,hamstring,Low Severity,Week 2,2016,2,5,,
Kareem Jackson,KJ-0100,Houston Texans,hamstring strain,hamstring,Low Severity,Week 4,2016,2,2,,
Kayvon Webster,KW-0850,Denver Broncos,hamstring strain,hamstring,Low Severity,Week 4,2016,2,3,,
Keith Marshall,KM-0350,Washington Redskins,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Kendall Wright,KW-2550,Tennessee Titans,hamstring strain,hamstring,Medium Severity,Preseason,2016,3,3,,
Kenyan Drake,KD-1462,Miami Dolphins,hamstring strain,hamstring,Low Severity,Preseason,2016,0,1,,
Kevin White,KW-0887,Chicago Bears,hamstring strain,hamstring,Low Severity,Preseason,2016,0,1,,
Kevon Seymour,KS-0450,Buffalo Bills,hamstring strain,hamstring,Low Severity,Preseason,2016,1,2,,
Laquon Treadwell,LT-0862,Minnesota Vikings,hamstring strain,hamstring,Low Severity,Week 9,2016,1,1,,
Leodis McKelvin,LM-1100,Philadelphia Eagles,hamstring strain,hamstring,Medium Severity,Week 3,2016,3,5,,
LeSean Mccoy,LM-1000,Buffalo Bills,hamstring strain,hamstring,Low Severity,Week 7,2016,1,3,,
Malcolm Mitchell,MM-3450,New England Patriots,hamstring strain,hamstring,Low Severity,Week 5,2016,1,3,,
Marcus Burley,MB-5050,Cleveland Browns,hamstring strain,hamstring,Low Severity,Week 6,2016,2,2,,
Marqise Lee,ML-0650,Jacksonville Jaguars,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Marvin Jones,MJ-2250,Detroit Lions,hamstring strain,hamstring,Low Severity,Week 3,2016,0,1,,
Matt Forte,MF-1300,New York Jets,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Michael Floyd,MF-0950,Arizona Cardinals,hamstring strain,hamstring,Low Severity,Week 11,2016,0,1,,
Michael Floyd,MF-0950,Arizona Cardinals,hamstring strain,hamstring,Low Severity,Week 7,2016,0,1,,
Mike Gillislee,MG-0650,Buffalo Bills,hamstring strain,hamstring,Low Severity,Week 11,2016,1,2,,
Mike Tolbert,MT-1300,Carolina Panthers,hamstring strain,hamstring,Low Severity,Week 4,2016,0,1,,
Nick Marshall,NM-0250,New York Jets,hamstring strain,hamstring,Low Severity,Week 16,2016,1,1,,
Orlando Scandrick,OS-0200,Dallas Cowboys,hamstring strain,hamstring,Medium Severity,Week 2,2016,4,6,,
Paul Richardson,PR-0150,Seattle Seahawks,hamstring strain,hamstring,Low Severity,Week 12,2016,1,1,,
Phillip Dorsett,PD-0800,Indianapolis Colts,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Prince Amukamara,PA-0300,Jacksonville Jaguars,hamstring strain,hamstring,Low Severity,Week 1,2016,2,2,,
Quintin Demps,QD-0100,Houston Texans,hamstring strain,hamstring,Low Severity,Postseason,2016,1,1,,
Quintin Demps,QD-0100,Houston Texans,hamstring strain,hamstring,Low Severity,Week 3,2016,0,1,,
Raheem Mostert,RM-5050,,hamstring strain,hamstring,Low Severity,Preseason,2016,1,1,,
Randall Cobb,RC-1500,Green Bay Packers,hamstring strain,hamstring,Low Severity,Week 7,2016,1,2,,
Rashard Robinson,RR-0925,San Francisco 49Ers,hamstring strain,hamstring,Low Severity,Week 16,2016,0,1,,
Rex Burkhead,RB-4670,Cincinnati Bengals,hamstring strain,hamstring,Low Severity,Week 4,2016,0,1,,
Ricardo Louis,RL-1325,Cleveland Browns,hamstring strain,hamstring,Low Severity,Week 8,2016,0,1,,
Rob Gronkowski,RG-2200,New England Patriots,hamstring strain,hamstring,Low Severity,Preseason,2016,2,6,,
Robby Anderson,RA-1125,New York Jets,hamstring strain,hamstring,Low Severity,Week 16,2016,0,1,,
Robert Golden,RG-1250,Pittsburgh Steelers,hamstring strain,hamstring,Low Severity,Week 3,2016,2,2,,
Robert McClain,RM-1900,Carolina Panthers,hamstring strain,hamstring,Low Severity,Week 4,2016,1,1,,
Robert McClain,RM-1900,Carolina Panthers,hamstring strain,hamstring,Low Severity,Week 6,2016,0,1,,
Ronald Darby,RD-0050,Buffalo Bills,hamstring strain,hamstring,Low Severity,Week 2,2016,1,2,,
Sammie Coates,SC-0775,Pittsburgh Steelers,hamstring strain,hamstring,Low Severity,Week 15,2016,1,1,,
Sergio Brown,SB-1600,Buffalo Bills,hamstring strain,hamstring,Low Severity,Week 12,2016,0,1,,
Shane Wynn,SW-2350,Jacksonville Jaguars,hamstring strain,hamstring,Low Severity,Week 14,2016,0,1,,
Shawn Williams,SW-1550,Cincinnati Bengals,hamstring strain,hamstring,Low Severity,Week 11,2016,1,1,,
Sherrick McManis,SM-2300,Chicago Bears,hamstring strain,hamstring,Low Severity,Week 3,2016,0,2,,
Shiloh Keo,SK-0200,New Orleans Saints,hamstring strain,hamstring,Low Severity,Week 13,2016,2,2,,
Stephen Anderson,SA-0850,Houston Texans,hamstring strain,hamstring,Medium Severity,Week 3,2016,3,3,,
T.Y. Hilton,TH-1850,Indianapolis Colts,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Tashaun Gipson,TG-0950,Jacksonville Jaguars,hamstring strain,hamstring,Low Severity,Week 2,2016,0,1,,
Tashaun Gipson,TG-0950,Jacksonville Jaguars,hamstring strain,hamstring,Low Severity,Week 9,2016,0,1,,
Terrance Brooks,TB-2750,Philadelphia Eagles,hamstring strain,hamstring,Low Severity,Week 9,2016,2,2,,
Terrelle Pryor,TP-2400,Cleveland Browns,hamstring strain,hamstring,Low Severity,Week 6,2016,0,1,,
Tevin Coleman,TC-2050,Atlanta Falcons,hamstring strain,hamstring,Medium Severity,Week 7,2016,3,3,,
Tony Lippett,TL-1012,Miami Dolphins,hamstring strain,hamstring,Low Severity,Week 6,2016,0,1,,
Tony Washington,TW-1075,,hamstring strain,hamstring,Low Severity,Preseason,2016,0,2,,
Trent Richardson,TR-0350,,hamstring strain,hamstring,Low Severity,Preseason,2016,0,0,,
Trey Burton,TB-3950,Philadelphia Eagles,hamstring strain,hamstring,Low Severity,Week 9,2016,0,1,,
Trey Caldwell,TC-0075,Cleveland Browns,hamstring strain,hamstring,Low Severity,Week 16,2016,1,1,,
Will Fuller,WF-0300,Houston Texans,hamstring strain,hamstring,Low Severity,Week 5,2016,0,1,,
Zach Ertz,ZE-0100,Philadelphia Eagles,hamstring strain,hamstring,Low Severity,Week 10,2016,0,1,,
Bruce Ellington,BE-0350,San Francisco 49Ers,hamstring tear,hamstring,High Severity,Preseason,2016,16,16,,
Bruce Gradkowski,BG-1000,Pittsburgh Steelers,hamstring tear,hamstring,Medium Severity,Preseason,2016,4,4,,
Bobby McCain,BM-0775,Miami Dolphins,hand contusion,hand,Low Severity,Week 14,2016,0,1,,
Justin Simmons,JS-3150,Denver Broncos,hand contusion,hand,Low Severity,Week 2,2016,1,2,,
LeSean Mccoy,LM-1000,Buffalo Bills,hand contusion,hand,Low Severity,Week 5,2016,0,1,,
Andre Caldwell,AC-0100,,hand fracture,hand,Low Severity,Preseason,2016,0,0,,
C.J. Prosise,CP-2550,Seattle Seahawks,hand fracture,hand,Medium Severity,Week 1,2016,5,5,,
Corey Coleman,CC-3650,Cleveland Browns,hand fracture,hand,Medium Severity,Week 2,2016,6,6,,
D.J. White,DW-2325,Kansas City Chiefs,hand fracture,hand,Medium Severity,Week 7,2016,3,3,,
Darius Butler,DB-6100,Indianapolis Colts,hand fracture,hand,Low Severity,Week 5,2016,0,1,,
Nic Jacobs,NJ-0150,,hand fracture,hand,High Severity,Preseason,2016,0,0,,
Ryan Smith,RS-2350,Tampa Bay Buccaneers,hand fracture,hand,Low Severity,Preseason,2016,2,3,,
Brandon LaFell,BL-0100,Cincinnati Bengals,hand ligament tear,hand,Low Severity,Preseason,2016,0,0,,
Alex Smith,AS-1600,Kansas City Chiefs,head laceration,head,Low Severity,Week 8,2016,1,1,,
Steve Smith,SS-2100,Baltimore Ravens,high ankle sprain,ankle,Low Severity,Week 5,2016,2,3,,
Brandon Marshall,BM-0300,New York Jets,hip contusion,hip,Low Severity,Preseason,2016,0,0,,
Demaryius Thomas,DT-0900,Denver Broncos,hip contusion,hip,Low Severity,Preseason,2016,0,1,,
Jonathan Jones,JJ-4565,New England Patriots,hip contusion,hip,Low Severity,Week 7,2016,0,1,,
Kevin Norwood,KN-0450,Carolina Panthers,hip contusion,hip,Low Severity,Preseason,2016,0,0,,
Su'a Cravens,SC-1725,Washington Redskins,hip contusion,hip,Low Severity,Week 1,2016,0,2,,
C.J. Prosise,CP-2550,Seattle Seahawks,hip flexor strain,hip,Low Severity,Preseason,2016,0,0,,
Andre Holmes,AH-3600,Oakland Raiders,hip strain,hip,Low Severity,Week 7,2016,0,1,,
Brandon Marshall,BM-0330,New York Jets,hip strain,hip,Low Severity,Week 16,2016,1,1,,
Brandon Myers,BM-3800,Tampa Bay Buccaneers,hip strain,hip,Low Severity,Week 12,2016,0,1,,
Brandon Myers,BM-3800,Tampa Bay Buccaneers,hip strain,hip,Low Severity,Week 4,2016,0,1,,
Dwayne Allen,DA-0850,Indianapolis Colts,hip strain,hip,Low Severity,Week 14,2016,0,1,,
John Kuhn,JK-2200,New Orleans Saints,hip strain,hip,Low Severity,Week 15,2016,0,1,,
LeGarrette Blount,LB-0500,New England Patriots,hip strain,hip,Low Severity,Week 4,2016,0,2,,
Malcolm Butler,MB-5250,New England Patriots,hip strain,hip,Low Severity,Week 14,2016,0,1,,
Marcus Peters,MP-0950,Kansas City Chiefs,hip strain,hip,Low Severity,Week 10,2016,1,2,,
Marqise Lee,ML-0650,Jacksonville Jaguars,hip strain,hip,Low Severity,Week 16,2016,0,1,,
Melvin Gordon,MG-1150,San Diego Chargers,hip strain,hip,Medium Severity,Week 14,2016,3,3,,
Michael Thomas,MT-0850,Los Angeles Rams,hip strain,hip,Low Severity,Week 16,2016,0,2,,
Russell Shepard,RS-0975,Tampa Bay Buccaneers,hip strain,hip,Low Severity,Week 8,2016,2,3,,
Stefon Diggs,SD-0537,Minnesota Vikings,hip strain,hip,Low Severity,Week 15,2016,1,2,,
T.Y. Hilton,TH-1850,Indianapolis Colts,hip strain,hip,Low Severity,Week 5,2016,0,2,,
Vance McDonald,VM-0250,San Francisco 49Ers,hip strain,hip,Low Severity,Week 3,2016,2,3,,
Walter Powell,WP-0650,Buffalo Bills,hip strain,hip,Low Severity,Week 11,2016,0,1,,
Eric Ebron,EE-0050,Detroit Lions,knee & ankle injury,knee,Medium Severity,Week 4,2016,3,4,,
Jay Ajayi,JA-0450,Miami Dolphins,knee contusion,knee,Low Severity,Preseason,2016,0,0,,
Jordan Matthews,JM-1550,Philadelphia Eagles,knee contusion,knee,Low Severity,Preseason,2016,0,0,,
Dez Bryant,DB-5300,Dallas Cowboys,knee fracture,knee,Medium Severity,Week 3,2016,3,7,,
Jamaal Charles,JC-2300,Kansas City Chiefs,knee soreness,knee,Medium Severity,Preseason,2016,3,6,,
Jimmy Graham,JG-2900,Seattle Seahawks,knee soreness,knee,Low Severity,Week 4,2016,0,1,,
Lance Dunbar,LD-0850,Dallas Cowboys,knee soreness,knee,Medium Severity,Week 4,2016,3,4,,
Adrian Peterson,AP-0700,Minnesota Vikings,knee sprain,knee,Low Severity,Week 15,2016,2,2,,
Austin Hooper,AH-3650,Atlanta Falcons,knee sprain,knee,Low Severity,Week 15,2016,2,2,,
Braedon Bowman,BB-2475,Washington Redskins,knee sprain,knee,Low Severity,Week 4,2016,2,2,,
Brandon Bolden,BB-2250,New England Patriots,knee sprain,knee,Low Severity,Week 4,2016,2,3,,
Bryce Williams,BW-2450,Los Angeles Rams,knee sprain,knee,Medium Severity,Preseason,2016,4,4,,
Charles Sims,CS-1950,Tampa Bay Buccaneers,knee sprain,knee,High Severity,Week 4,2016,8,8,,
Chris Matthews,CM-0850,Baltimore Ravens,knee sprain,knee,High Severity,Preseason,2016,16,16,,
David Morgan,DM-3550,Minnesota Vikings,knee sprain,knee,Low Severity,Week 3,2016,2,2,,
Dennis Parks,DP-0356,,knee sprain,knee,High Severity,Preseason,2016,16,16,,
Jake Coker,JC-3450,Washington Redskins,knee sprain,knee,High Severity,Preseason,2016,16,16,,
Jordan Richards,JR-2150,New England Patriots,knee sprain,knee,Medium Severity,Week 12,2016,3,4,,
Keanu Neal,KN-0125,Atlanta Falcons,knee sprain,knee,Low Severity,Preseason,2016,2,2,,
Kyle Fuller,KF-0500,Chicago Bears,knee sprain,knee,Medium Severity,Preseason,2016,3,3,,
Michael Hoomanawanui,MH-3300,New Orleans Saints,knee sprain,knee,High Severity,Preseason,2016,16,16,,
